date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2020-12-19,New York,40.712775,-74.005973,-3.570416666666666,66.04166666666667,-10.0,-3.72
2020-12-20,New York,40.712775,-74.005973,0.05000000000000013,69.92307692307692,-5.0,0.35
2020-12-21,New York,40.712775,-74.005973,3.5374999999999996,80.91666666666667,-0.56,4.0
2020-12-22,New York,40.712775,-74.005973,4.464166666666667,73.25,1.11,4.0
2020-12-23,New York,40.712775,-74.005973,4.427083333333335,50.25,-1.11,4.0
2020-12-24,New York,40.712775,-74.005973,9.029583333333333,75.66666666666667,1.67,6.0
2020-12-25,New York,40.712775,-74.005973,12.669117647058826,89.44117647058823,1.67,4.0
2020-12-26,New York,40.712775,-74.005973,-1.6645833333333337,62.833333333333336,-5.56,-2.78
2020-12-27,New York,40.712775,-74.005973,-1.4366666666666663,60.5,-5.56,-3.0
2020-12-28,New York,40.712775,-74.005973,4.475416666666667,66.04166666666667,-2.22,2.22
2020-12-29,New York,40.712775,-74.005973,4.025833333333333,47.916666666666664,0.0,2.58
2020-12-30,New York,40.712775,-74.005973,0.45666666666666683,52.083333333333336,-4.0,-1.0
2020-12-31,New York,40.712775,-74.005973,6.22,73.75,2.78,5.56
2021-01-01,New York,40.712775,-74.005973,2.32375,63.125,-2.22,3.29
2021-01-02,New York,40.712775,-74.005973,5.134444444444445,82.88888888888889,1.67,3.0
2021-01-03,New York,40.712775,-74.005973,2.5807407407407417,78.44444444444444,-0.56,3.0
2021-01-04,New York,40.712775,-74.005973,3.1180000000000008,82.76,0.56,3.0
2021-01-05,New York,40.712775,-74.005973,3.5470833333333327,73.04166666666667,1.67,3.9
2021-01-06,New York,40.712775,-74.005973,3.065416666666667,65.95833333333333,-0.56,3.33
2021-01-07,New York,40.712775,-74.005973,2.0308333333333333,57.333333333333336,-1.67,1.0
2021-01-08,New York,40.712775,-74.005973,0.19999999999999987,64.375,-3.89,-1.0
2021-01-09,New York,40.712775,-74.005973,-0.5316666666666668,57.375,-5.0,-2.0
2021-01-10,New York,40.712775,-74.005973,1.39,51.791666666666664,-3.33,0.92
2021-01-11,New York,40.712775,-74.005973,0.3404166666666666,61.708333333333336,-4.0,1.22
2021-01-12,New York,40.712775,-74.005973,2.3629166666666666,63.291666666666664,-3.0,2.61
2021-01-13,New York,40.712775,-74.005973,2.99875,61.625,-1.11,3.0
2021-01-14,New York,40.712775,-74.005973,4.759583333333334,63.333333333333336,0.0,4.35
2021-01-15,New York,40.712775,-74.005973,4.723750000000002,77.125,0.0,4.44
2021-01-16,New York,40.712775,-74.005973,6.641923076923078,84.42307692307692,3.89,6.11
2021-01-17,New York,40.712775,-74.005973,3.9737500000000003,60.625,0.56,3.0
